Full_Address,Place_type,source_centroid,source_lon,source_lat
"100 North Tryon St, Charlotte, North Carolina 28202",FDIC_Insured_Banks,POINT (-72.8786479999999 41.601435),-72.878648,41.601435
"100 North Tryon St, Charlotte, North Carolina 28202",FDIC_Insured_Banks,POINT (-70.25666799999991 43.6574320000001),-70.256668,43.657432
"2 Elm Street, Camden, Maine 04843",FDIC_Insured_Banks,POINT (-68.4246209999999 44.5413260000001),-68.424621,44.541326
"1 Lincoln St. Fl 1, Boston, Massachusetts 02111",FDIC_Insured_Banks,POINT (-71.0579589999999 42.3528240000001),-71.057959,42.352824
"100 North Tryon St, Charlotte, North Carolina 28202",FDIC_Insured_Banks,POINT (-71.11891299999991 42.3738320000001),-71.118913,42.373832
"100 North Tryon St, Charlotte, North Carolina 28202",FDIC_Insured_Banks,POINT (-71.1553049999999 41.702031),-71.155305,41.702031
"824 North Market Street, Suite 100, Wilmington, Delaware 19801",FDIC_Insured_Banks,POINT (-70.6625819999999 42.6125690000001),-70.662582,42.612569
"2035 Limestone Road, Wilmington, Delaware 19808",FDIC_Insured_Banks,POINT (-72.60063699999991 42.587947),-72.600637,42.587947
"100 North Tryon St, Charlotte, North Carolina 28202",FDIC_Insured_Banks,POINT (-71.1388679999999 42.451648),-71.138868,42.451648
"62 Pleasant Street, Laconia, New Hampshire 03246",FDIC_Insured_Banks,POINT (-71.7762109999999 44.3074280000001),-71.776211,44.307428
"100 North Gay Street, Auburn, Alabama 36830",FDIC_Insured_Banks,POINT (-85.4798389999999 32.6067820000001),-85.479839,32.606782
"3251 Ross Clark Circle, Dothan, Alabama 36303",FDIC_Insured_Banks,POINT (-85.34964099999991 31.3411410000001),-85.349641,31.341141
"Sixth And Blount Streets, Altoona, Alabama 35952",FDIC_Insured_Banks,POINT (-86.0704529999999 34.0182130000001),-86.070453,34.018213
"216 North Walnut Avenue, Demopolis, Alabama 36732",FDIC_Insured_Banks,POINT (-87.8375189999999 32.5181600000001),-87.837519,32.51816
"801 13th Street, Phenix City, Alabama 36867",FDIC_Insured_Banks,POINT (-85.00407199999999 32.4707930000001),-85.004072,32.470793
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-86.5036249999999 34.3371200000001),-86.503625,34.33712
"341 Military Street South, Hamilton, Alabama 35570",FDIC_Insured_Banks,POINT (-87.60132299999989 33.659316),-87.601323,33.659316
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-86.0293579999999 34.6727220000001),-86.029358,34.672722
"900 Second Avenue, Sw, Cullman, Alabama 35055",FDIC_Insured_Banks,POINT (-86.8397049999999 34.1682270000001),-86.839705,34.168227
"819 20th St, Haleyville, Alabama 35565",FDIC_Insured_Banks,POINT (-87.6247189999999 34.226209),-87.624719,34.226209
"146 West Front Street, Evergreen, Alabama 36401",FDIC_Insured_Banks,POINT (-86.9556819999999 31.4332110000001),-86.955682,31.433211
"200 4th Avenue Sw, Red Bay, Alabama 35582",FDIC_Insured_Banks,POINT (-88.14529399999989 34.4417910000001),-88.145294,34.441791
"44825 Highway 17, Vernon, Alabama 35592",FDIC_Insured_Banks,POINT (-88.1086099999999 33.7605780000001),-88.10861,33.760578
"236 Bankhead Highway, Winfield, Alabama 35594",FDIC_Insured_Banks,POINT (-87.81443299999999 33.9299150000001),-87.814433,33.929915
"203 W Crawford Street, Colquitt, Georgia 39837",FDIC_Insured_Banks,POINT (-85.1109299999999 31.2927880000001),-85.11093,31.292788
"Sixth And Blount Streets, Altoona, Alabama 35952",FDIC_Insured_Banks,POINT (-86.3258289999999 34.0251840000001),-86.325829,34.025184
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-86.4841209999999 31.3080980000001),-86.484121,31.308098
"2100 Third Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-86.5909119999999 34.0833170000001),-86.590912,34.083317
"200 East Nashville Avenue, Atmore, Alabama 36502",FDIC_Insured_Banks,POINT (-87.49246099999991 31.0239290000001),-87.492461,31.023929
"17901 Chenal Parkway, Little Rock, Arkansas 72223",FDIC_Insured_Banks,POINT (-85.8638539999999 31.0335930000001),-85.863854,31.033593
"248 East Capitol Street, Jackson, Mississippi 39201",FDIC_Insured_Banks,POINT (-87.07164399999991 31.1058410000001),-87.071644,31.105841
"101 N. Phillips Avenue, Sioux Falls, South Dakota 57104",FDIC_Insured_Banks,POINT (-86.32616399999991 31.0027570000001),-86.326164,31.002757
"341 Military Street South, Hamilton, Alabama 35570",FDIC_Insured_Banks,POINT (-87.28448899999999 33.7305830000001),-87.284489,33.730583
"117 Main Street, Wedowee, Alabama 36278",FDIC_Insured_Banks,POINT (-85.3686099999999 33.1508340000001),-85.36861,33.150834
"200 W 2nd St, Winston Salem, North Carolina 27101",FDIC_Insured_Banks,POINT (-86.2637289999999 31.7139710000001),-86.263729,31.713971
"2013 Highway 21 Bypass, Monroeville, Alabama 36460",FDIC_Insured_Banks,POINT (-87.31728199999991 31.5048120000001),-87.317282,31.504812
"11025 Hwy 25, Calera, Alabama 35040",FDIC_Insured_Banks,POINT (-86.7495789999999 33.1031490000001),-86.749579,33.103149
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-86.9712489999999 34.8012180000001),-86.971249,34.801218
"40956 Alabama Highway 75, Geraldine, Alabama 35974",FDIC_Insured_Banks,POINT (-85.87263299999999 34.2706390000001),-85.872633,34.270639
"3251 Ross Clark Circle, Dothan, Alabama 36303",FDIC_Insured_Banks,POINT (-85.43182399999991 31.236023),-85.431824,31.236023
"201 South Main Street, Warren, Arkansas 71671",FDIC_Insured_Banks,POINT (-92.0642489999999 33.6136710000001),-92.064249,33.613671
"200 West Congress Street, Lafayette, Louisiana 70501",FDIC_Insured_Banks,POINT (-90.4189889999999 35.5307980000001),-90.418989,35.530798
"One Mississippi Plaza, Tupelo, Mississippi 38804",FDIC_Insured_Banks,POINT (-93.5776139999999 33.357532),-93.577614,33.357532
"302 E Main, Hampton, Arkansas 71744",FDIC_Insured_Banks,POINT (-92.4660149999999 33.537851),-92.466015,33.537851
"3878 North Crossover Road, Suite 20, Fayetteville, Arkansas 72703",FDIC_Insured_Banks,POINT (-94.1191849999999 36.1208480000001),-94.119185,36.120848
"212 West Gaines Street, Monticello, Arkansas 71655",FDIC_Insured_Banks,POINT (-91.7922499999999 33.629148),-91.79225,33.629148
"432 Madison 1650, Huntsville, Arkansas 72740",FDIC_Insured_Banks,POINT (-94.0519849999999 35.4983720000001),-94.051985,35.498372
"501 Main Street, Pine Bluff, Arkansas 71611",FDIC_Insured_Banks,POINT (-91.5425399999999 33.1204240000001),-91.54254,33.120424
"Commerce And Main Streets, Sparkman, Arkansas 71763",FDIC_Insured_Banks,POINT (-92.8479489999999 33.916591),-92.847949,33.916591
"104 S Main Street, Warren, Arkansas 71671",FDIC_Insured_Banks,POINT (-92.06430499999991 33.6142610000001),-92.064305,33.614261
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-92.6634109999999 33.2140380000001),-92.663411,33.214038
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-90.7871589999999 35.0109120000001),-90.787159,35.010912
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-93.0530369999999 34.509011),-93.053037,34.509011
"503 E Antioch Street, Delight, Arkansas 71940",FDIC_Insured_Banks,POINT (-93.5017149999999 34.031303),-93.501715,34.031303
"75 North East Street, Fayetteville, Arkansas 72701",FDIC_Insured_Banks,POINT (-94.2081059999999 36.3731310000001),-94.208106,36.373131
"East 2nd And Main Streets, Prescott, Arkansas 71857",FDIC_Insured_Banks,POINT (-93.37967999999999 33.8013520000001),-93.37968,33.801352
"602 Garrison Avenue, Fort Smith, Arkansas 72901",FDIC_Insured_Banks,POINT (-94.1756109999999 35.3362780000001),-94.175611,35.336278
"One Mississippi Plaza, Tupelo, Mississippi 38804",FDIC_Insured_Banks,POINT (-94.2259099999999 35.4832650000001),-94.22591,35.483265
"137 S Main Street, Cave City, Arkansas 72521",FDIC_Insured_Banks,POINT (-94.2321049999999 36.2638880000001),-94.232105,36.263888
"297 Madison Street, Clarendon, Arkansas 72029",FDIC_Insured_Banks,POINT (-91.3120029999999 34.692774),-91.312003,34.692774
"901 Main Street, Danville, Arkansas 72833",FDIC_Insured_Banks,POINT (-94.13601199999989 36.1200940000001),-94.136012,36.120094
"Pride And Main, Horatio, Arkansas 71842",FDIC_Insured_Banks,POINT (-94.3572179999999 33.9384710000001),-94.357218,33.938471
"17901 Chenal Parkway, Little Rock, Arkansas 72223",FDIC_Insured_Banks,POINT (-92.4586169999999 34.7695640000001),-92.458617,34.769564
"425 Walnut Street, Cincinnati, Ohio 45202",FDIC_Insured_Banks,POINT (-118.442233 34.0592130000001),-118.442233,34.059213
"2035 Limestone Road, Wilmington, Delaware 19808",FDIC_Insured_Banks,POINT (-82.9864399999999 30.2925680000001),-82.98644,30.292568
"101 N. Phillips Avenue, Sioux Falls, South Dakota 57104",FDIC_Insured_Banks,POINT (-83.4167319999999 30.469478),-83.416732,30.469478
"101 N. Phillips Avenue, Sioux Falls, South Dakota 57104",FDIC_Insured_Banks,POINT (-81.4217099999999 30.3390210000001),-81.42171,30.339021
"815 Colorado Avenue, Stuart, Florida 34994",FDIC_Insured_Banks,POINT (-80.2529609999999 27.191715),-80.252961,27.191715
"303 Peachtreet Street, Northeast, Atlanta, Georgia 30308",FDIC_Insured_Banks,POINT (-82.45648199999989 27.9473040000001),-82.456482,27.947304
"1627 North Young Boulevard, Chiefland, Florida 32626",FDIC_Insured_Banks,POINT (-82.4438659999999 29.3879870000001),-82.443866,29.387987
