index,Location_id,address_1,address_2,city,state,zip,county,location_source_value,latitude,longitude,address_type,state_abbr,flag,geometry,ZCTA5CE20,NAMELSAD_COUNTY_20,county_match
1,157,Po Box 6149,,China Village,Maine,04926,Kennebec County,"PO BOX 6149, CHINA VILLAGE, ME 04926",44.48172100003606,-69.51675099979525,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.51675099979525 44.48172100003606),04926,Kennebec County,1
2,158,Po Box 555,,Northeast Hbr,Maine,04662,Hancock County,"PO BOX 555, NORTHEAST HBR, ME 04662",44.294139999939766,-68.29021100013286,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.29021100013286 44.29413999993977),04662,Hancock County,1
4,160,Po Box 826,,Presque Isle,Maine,04769,Aroostook County,"PO BOX 826, PRESQUE ISLE, ME 04769",46.68123500029335,-68.010187999867,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.010187999867 46.68123500029335),04769,Aroostook County,1
5,161,Po Box 435,,North Haven,Maine,04853,Knox County,"PO BOX 435, NORTH HAVEN, ME 04853",44.13228500011185,-68.87332899984187,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.87332899984187 44.13228500011185),04853,Knox County,1
6,162,Po Box 391,,Kennebunkport,Maine,04046,York County,"PO BOX 391, KENNEBUNKPORT, ME 04046",43.404580999725525,-70.41133199985511,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.41133199985511 43.40458099972552),04046,York County,1
8,163,Po Box 310,,Eagle Lake,Maine,04739,Aroostook County,"PO BOX 310, EAGLE LAKE, ME 04739",47.04011900016979,-68.59435199968948,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.59435199968948 47.04011900016979),04739,Aroostook County,1
11,165,Po Box 286,,Kents Hill,Maine,04349,Kennebec County,"PO BOX 286, KENTS HILL, ME 04349",44.404945000241405,-70.02228799964112,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.02228799964112 44.4049450002414),04349,Kennebec County,1
12,167,Po Box 248,,Damariscotta,Maine,04543,Lincoln County,"PO BOX 248, DAMARISCOTTA, ME 04543",44.02757500007027,-69.5270600004188,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.5270600004188 44.02757500007027),04543,Lincoln County,1
14,168,Po Box 217,,Pittsfield,Maine,04967,Somerset County,"PO BOX 217, PITTSFIELD, ME 04967",44.78381000011217,-69.38403599998057,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.38403599998057 44.78381000011217),04967,Somerset County,1
16,170,Po Box 57,,West Paris,Maine,04289,Oxford County,"PO BOX 57, WEST PARIS, ME 04289",44.32418999975351,-70.57517799995827,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.57517799995827 44.32418999975351),04289,Oxford County,1
17,171,Po Box 108,,Castine,Maine,04421,Hancock County,"PO BOX 108, CASTINE, ME 04421",44.39593500003099,-68.79852999976863,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.79852999976863 44.39593500003099),04421,Hancock County,1
18,173,Po Box 389,,Readfield,Maine,04355,Kennebec County,"PO BOX 389, READFIELD, ME 04355",44.371909999881424,-69.9600719999932,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.9600719999932 44.37190999988142),04355,Kennebec County,1
19,174,Po Box 302,,Hebron,Maine,04238,Oxford County,"PO BOX 302, HEBRON, ME 04238",44.19449299985142,-70.40595400004813,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.40595400004813 44.19449299985142),04238,Oxford County,1
20,175,Po Box Q,,Bucksport,Maine,04416,Hancock County,"PO BOX Q, BUCKSPORT, ME 04416",44.57450099999954,-68.78902100010957,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.78902100010957 44.57450099999954),04416,Hancock County,1
21,179,Po Box 367,,Topsham,Maine,04086,Sagadahoc County,"PO BOX 367, TOPSHAM, ME 04086",43.9299369997706,-69.9646189997719,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.9646189997719 43.9299369997706),04086,Sagadahoc County,1
22,180,Po Box 69,,Caribou,Maine,04736,Aroostook County,"PO BOX 69, CARIBOU, ME 04736",46.85971899987212,-68.0109619999939,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.0109619999939 46.85971899987212),04736,Aroostook County,1
27,183,Po Box 113,,Edgecomb,Maine,04556,Lincoln County,"PO BOX 113, EDGECOMB, ME 04556",43.99554599977762,-69.65109900025254,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.65109900025254 43.99554599977762),04556,Lincoln County,1
28,184,Po Box 806,,Bethel,Maine,04217,Oxford County,"PO BOX 806, BETHEL, ME 04217",44.405951999837775,-70.79018000032178,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.79018000032178 44.40595199983778),04217,Oxford County,1
31,186,Po Box 621,,Bridgton,Maine,04009,Cumberland County,"PO BOX 621, BRIDGTON, ME 04009",44.05380000019904,-70.70716100037717,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.70716100037717 44.05380000019904),04009,Cumberland County,1
32,187,Po Box 27,,Levant,Maine,04456,Penobscot County,"PO BOX 27, LEVANT, ME 04456",44.86928499989134,-68.92553799988835,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.92553799988835 44.86928499989134),04456,Penobscot County,1
33,190,Po Box 113,,Richmond,Maine,04357,Sagadahoc County,"PO BOX 113, RICHMOND, ME 04357",44.08798499986876,-69.80284700035227,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.80284700035227 44.08798499986876),04357,Sagadahoc County,1
36,191,Po Box 485,,Wilton,Maine,04294,Franklin County,"PO BOX 485, WILTON, ME 04294",44.58814199982694,-70.23048899961731,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.23048899961731 44.58814199982694),04294,Franklin County,1
