location_id,AddressNumber,StreetNamePreDirectional,StreetNamePreType,StreetName,StreetNamePostType,StreetNamePostDirectional,county,address_1,address_2,city,state,zip,state_abbr,location_source_value,latitude,longitude,geometry,Nominatim_address
16057,800,North,,King,Street,,New Castle County,800 North King Street,SUITE 101,Wilmington,Delaware,19801,DE,"800 NORTH KING STREET SUITE 101, WILMINGTON, DE 19801",39.68612671100004,-75.66009323499996,POINT (-75.66009323499996 39.68612671100004),"800,North  King Street , Wilmington, New Castle County, Delaware, 19801, United States"
16129,160,,,Pencader,Plaza,,New Castle County,160 Pencader Plaza,,Newark,Delaware,19713,DE,"160 PENCADER PLAZA, NEWARK, DE 19713",39.65892000000008,-75.73688299999996,POINT (-75.73688299999996 39.65892000000008),"160,  Pencader Plaza , Newark, New Castle County, Delaware, 19713, United States"
16621,104,,,Hullihen Hall,,,New Castle County,104 Hullihen Hall,,Newark,Delaware,19716,DE,"104 HULLIHEN HALL, NEWARK, DE 19716",39.67802800000004,-75.75283299999995,POINT (-75.75283299999995 39.67802800000004),"104,  Hullihen Hall  , Newark, New Castle County, Delaware, 19716, United States"
16799,100,,,Campus,Drive,,Kent County,100 Campus Drive,,Dover,Delaware,19901,DE,"100 CAMPUS DRIVE, DOVER, DE 19901",39.19837089700008,-75.56011991899997,POINT (-75.56011991899997 39.19837089700008),"100,  Campus Drive , Dover, Kent County, Delaware, 19901, United States"
17046,1413,,,Foulk,Road,,New Castle County,1413 Foulk Road,SUITE 100,Wilmington,Delaware,19803,DE,"1413 FOULK ROAD, SUITE 100, WILMINGTON, DE 19803",39.80089168600006,-75.52391669399998,POINT (-75.52391669399998 39.80089168600006),"1413,  Foulk Road , Wilmington, New Castle County, Delaware, 19803, United States"
17861,1832,North,,Dupont,Highway,,Kent County,1832 North Dupont Highway,,Dover,Delaware,19901,DE,"1832 NORTH DUPONT HIGHWAY, DOVER, DE 19901",39.19814445200007,-75.56287279199994,POINT (-75.56287279199994 39.19814445200007),"1832,North  Dupont Highway , Dover, Kent County, Delaware, 19901, United States"
17862,252,,,Chapman,Road,,New Castle County,252 Chapman Road,SUITE 100,Newark,Delaware,19702,DE,"252 CHAPMAN ROAD, SUITE 100, NEWARK, DE 19702",39.75459435100005,-75.595460588,POINT (-75.59546058799999 39.75459435100005),"252,  Chapman Road , Newark, New Castle County, Delaware, 19702, United States"
17863,600,North,,Market,Street,,New Castle County,600 N Market St,,Wilmington,Delaware,19801,DE,"600 N MARKET ST, WILMINGTON, DE 19801",39.74190017500006,-75.54984603599996,POINT (-75.54984603599996 39.74190017500006),"600,North  Market Street , Wilmington, New Castle County, Delaware, 19801, United States"
18435,1420,,,Pulaski,Highway,,New Castle County,1420 Pulaski Hwy,,Newark,Delaware,19702,DE,"1420 PULASKI HWY, NEWARK, DE 19702",39.62273576900002,-75.68035127799999,POINT (-75.68035127799999 39.62273576900002),"1420,  Pulaski Highway , Newark, New Castle County, Delaware, 19702, United States"
18465,211,,,Louviers,Drive,,New Castle County,211 Louviers Drive,,Newark,Delaware,19711,DE,"211 LOUVIERS DRIVE, NEWARK, DE 19711",39.71122103600003,-75.74178561599994,POINT (-75.74178561599994 39.71122103600003),"211,  Louviers Drive , Newark, New Castle County, Delaware, 19711, United States"
18800,424,,,Savannah,Road,,Sussex County,424 Savannah Rd,,Lewes,Delaware,19958,DE,"424 SAVANNAH RD, LEWES, DE 19958",38.77156519800008,-75.14286351899993,POINT (-75.14286351899993 38.77156519800008),"424,  Savannah Road , Lewes, Sussex County, Delaware, 19958, United States"
18989,120,North,,State,Street,,Kent County,120 N State St,,Dover,Delaware,19901,DE,"120 N STATE ST, DOVER, DE 19901",39.16301171100003,-75.52723423899995,POINT (-75.52723423899995 39.16301171100003),"120,North  State Street , Dover, Kent County, Delaware, 19901, United States"
20404,910,,,Norman Eskridge,Highway,,Sussex County,910 Norman Eskridge Highway,,Seaford,Delaware,19973,DE,"910 Norman Eskridge Highway, Seaford, Delaware 19973",38.650668,-75.601407,POINT (-75.60140699999999 38.650668),"910,  Norman Eskridge Highway , Seaford, Sussex County, Delaware, 19973, United States"
24076,29022,,,Fire Tower,Road,,Sussex County,29022 Fire Tower Road,,Laurel,Delaware,19956,DE,"29022 Fire Tower Road, Laurel, DE 19956",38.57742167395034,-75.54352851035623,POINT (-75.54352851035623 38.57742167395034),"29022,  Fire Tower Road , Laurel, Sussex County, Delaware, 19956, United States"
25760,318,,,Main,Street,,Kent County,318 Main Street,,Leipsic,Delaware,19901,DE,"318 Main Street, Leipsic, DE 19901",39.24080889906602,-75.51326229932714,POINT (-75.51326229932714 39.24080889906602),"318,  Main Street , Leipsic, Kent County, Delaware, 19901, United States"
25764,34237,,,Omar,Road,,Sussex County,34237 Omar Road,,Dagsboro,Delaware,19939,DE,"34237 Omar Road, Dagsboro, DE 19939",38.548603057646616,-75.15047454839322,POINT (-75.15047454839322 38.54860305764662),"34237,  Omar Road , Dagsboro, Sussex County, Delaware, 19939, United States"
25775,25375,,,Banks,Road,,Sussex County,25375 Banks Road,,Millsboro,Delaware,19966,DE,"25375 Banks Road, Millsboro, DE 19966",38.63339614866365,-75.18108367960394,POINT (-75.18108367960394 38.63339614866365),"25375,  Banks Road , Millsboro, Sussex County, Delaware, 19966, United States"
25840,1714,,,Porter,Road,,New Castle County,1714 Porter Road,,Bear,Delaware,19701,DE,"1714 Porter Road, Bear, DE 19701",39.59458157471807,-75.69606281750224,POINT (-75.69606281750224 39.59458157471807),"1714,  Porter Road , Bear, New Castle County, Delaware, 19701, United States"
25848,815,,,5th,Street,,New Castle County,815 5Th Street,,Delaware City,Delaware,19706,DE,"815 5th Street, Delaware City, DE 19706",39.574631674457045,-75.59768148533878,POINT (-75.59768148533878 39.57463167445704),"815,  5th Street , Delaware City, New Castle County, Delaware, 19706, United States"
25865,110,,,Firehouse,Lane,,Kent County,110 Firehouse Lane,,Marydel,Delaware,19964,DE,"110 Firehouse Lane, Marydel, DE 19964",39.11405487595572,-75.74471460400798,POINT (-75.74471460400798 39.11405487595572),"110,  Firehouse Lane , Marydel, Kent County, Delaware, 19964, United States"
25868,6,,,Front,Street,,Kent County,6 Front Street,,Frederica,Delaware,19946,DE,"6 Front Street, Frederica, DE 19946",39.00893176469383,-75.46517130949373,POINT (-75.46517130949373 39.00893176469383),"6,  Front Street , Frederica, Kent County, Delaware, 19946, United States"
25874,214,,,Railroad,Avenue,,Kent County,214 Railroad Avenue,,Clayton,Delaware,19938,DE,"214 Railroad Avenue, Clayton, DE 19938",39.2919150170038,-75.63442027987385,POINT (-75.63442027987385 39.2919150170038),"214,  Railroad Avenue , Clayton, Kent County, Delaware, 19938, United States"
25916,2,North,,Main,Street,,Kent County,2 North Main Street,,Magnolia,Delaware,19962,DE,"2 North Main Street, Magnolia, DE 19962",39.07188095845877,-75.47595186904756,POINT (-75.47595186904756 39.07188095845877),"2,North  Main Street , Magnolia, Kent County, Delaware, 19962, United States"
