location_id,AddressNumber,StreetNamePreDirectional,StreetNamePreType,StreetName,StreetNamePostType,StreetNamePostDirectional,county,address_1,address_2,city,state,zip,state_abbr,location_source_value,latitude,longitude,geometry,Nominatim_address,Primary RUCA Code 2010,rural,tribal,rural_tribal
35717,186,,,Justice,Avenue,,Crenshaw County,186 Justice Avenue,,Luverne,Alabama,36049,AL,"186 JUSTICE AVENUE, LUVERNE, AL 36049",31.72891076078403,-86.28860490642455,POINT (-86.28860490642455 31.72891076078403),"186,  Justice Avenue , Luverne, Crenshaw County, Alabama, 36049, United States",2.0,0,0,0
25979,3690,,,Grandview,Parkway,,Jefferson County,3690 Grandview Parkway,,Birmingham,Alabama,35243,AL,"3690 GRANDVIEW PARKWAY, BIRMINGHAM, AL 35243",33.43293355,-86.71744146,POINT (-86.71744146 33.43293355),"3690,  Grandview Parkway , Birmingham, Jefferson County, Alabama, 35243, United States",1.0,0,0,0
37108,3802,,,Spring,Avenue,Southwest,Morgan County,3802 Spring Ave Sw,,Decatur,Alabama,35603,AL,"3802 SPRING AVE SW, DECATUR, AL 35603",34.575407291325824,-86.9897791958381,POINT (-86.9897791958381 34.57540729132582),"3802,  Spring Avenue Southwest, Decatur, Morgan County, Alabama, 35603, United States",1.0,0,0,0
19361,44825,,Highway,17,,,Lamar County,44825 Highway 17,,Vernon,Alabama,35592,AL,"44825 Highway 17, Vernon, Alabama 35592",33.760578,-88.10861,POINT (-88.10861 33.760578),"44825, Highway 17  , Vernon, Lamar County, Alabama, 35592, United States",10.0,1,0,0
35230,3520,,,Marion Spillway,Road,,Elmore County,3520 Marion Spillway Road,,Elmore,Alabama,36025,AL,"3520 MARION SPILLWAY ROAD, ELMORE, AL 36025",32.57430478356286,-86.32080581628813,POINT (-86.32080581628813 32.57430478356286),"3520,  Marion Spillway Road , Elmore, Elmore County, Alabama, 36025, United States",1.0,0,0,0
42173,4200,,,School,Drive,,Jefferson County,4200 School Dr,,Pinson,Alabama,35126,AL,"4200 SCHOOL DR, PINSON, AL 35126",33.69320083717471,-86.6850921661158,POINT (-86.68509216611579 33.69320083717471),"4200,  School Drive , Pinson, Jefferson County, Alabama, 35126, United States",1.0,0,0,0
17732,200,,,Vulcan,Way,,Houston County,200 Vulcan Way,,Dothan,Alabama,36303,AL,"200 VULCAN WAY, DOTHAN, AL 36303",31.24288596300005,-85.37442423599998,POINT (-85.37442423599998 31.24288596300005),"200,  Vulcan Way , Dothan, Houston County, Alabama, 36303, United States",1.0,0,0,0
37025,2736,,,Wills Creek,Road,,Etowah County,2736 Wills Creek Rd,,Gadsden,Alabama,35904,AL,"2736 WILLS CREEK RD, GADSDEN, AL 35904",33.99187046176434,-86.04919064073552,POINT (-86.04919064073552 33.99187046176434),"2736,  Wills Creek Road , Gadsden, Etowah County, Alabama, 35904, United States",1.0,0,0,0
17637,800,,,Lakeshore,Drive,,Jefferson County,800 Lakeshore Drive,,Birmingham,Alabama,35229,AL,"800 LAKESHORE DRIVE, BIRMINGHAM, AL 35229",33.46594603700004,-86.79220465299993,POINT (-86.79220465299993 33.46594603700004),"800,  Lakeshore Drive , Birmingham, Jefferson County, Alabama, 35229, United States",1.0,0,0,0
37011,112,,,2nd,Avenue,Southeast,Cullman County,112 2Nd Ave Se,,Cullman,Alabama,35055,AL,"112 2ND AVE SE, CULLMAN, AL 35055",34.17791675378898,-86.84151662939635,POINT (-86.84151662939635 34.17791675378898),"112,  2nd Avenue Southeast, Cullman, Cullman County, Alabama, 35055, United States",4.0,1,0,0
43481,1305,,,North,Pike,,Colbert County,1305 North Pike,,Cherokee,Alabama,35616,AL,"1305 NORTH PIKE, CHEROKEE, AL 35616",34.769588710929575,-87.96386340631449,POINT (-87.96386340631449 34.76958871092958),"1305,  North Pike , Cherokee, Colbert County, Alabama, 35616, United States",2.0,0,0,0
41247,303,,,Broad,Street,,Wilcox County,303 Broad St,,Camden,Alabama,36726,AL,"303 BROAD ST, CAMDEN, AL 36726",31.99465818773856,-87.29465908217378,POINT (-87.29465908217378 31.99465818773856),"303,  Broad Street , Camden, Wilcox County, Alabama, 36726, United States",10.0,1,0,0
37031,178,,,Earline,Road,,Houston County,178 Earline Rd,,Dothan,Alabama,36305,AL,"178 EARLINE RD, DOTHAN, AL 36305",31.20034982293708,-85.4385357193414,POINT (-85.4385357193414 31.20034982293708),"178,  Earline Road , Dothan, Houston County, Alabama, 36305, United States",1.0,0,0,0
26010,7063,,,Veterans,Parkway,,St. Clair County,7063 Veterans Parkway,,Pell City,Alabama,35125,AL,"7063 VETERANS PARKWAY, PELL CITY, AL 35125",33.6039924200001,-86.30223929,POINT (-86.30223929 33.6039924200001),"7063,  Veterans Parkway , Pell City, St. Clair County, Alabama, 35125, United States",5.0,1,0,0
37017,1600,,,Mccurdy,Avenue,North,DeKalb County,1600 Mccurdy Ave N,,Rainsville,Alabama,35986,AL,"1600 MCCURDY AVE N, RAINSVILLE, AL 35986",34.5136727888352,-85.8324074392671,POINT (-85.8324074392671 34.5136727888352),"1600,  Mccurdy Avenue North, Rainsville, DeKalb County, Alabama, 35986, United States",9.0,1,0,0
19624,2151,,,Ringold,Street,,Escambia County,2151 Ringold St,,Flomaton,Alabama,36441,AL,"2151 Ringold St, Flomaton, Alabama 36441",31.000741,-87.260492,POINT (-87.260492 31.000741),"2151,  Ringold Street , Flomaton, Escambia County, Alabama, 36441, United States",9.0,1,0,0
17799,3810,,,Sullivan,Street,,Madison County,3810 Sullivan St,STE F,Madison,Alabama,35758,AL,"3810 SULLIVAN ST STE F, MADISON, AL 35758",34.681267408000046,-86.75256322699994,POINT (-86.75256322699994 34.68126740800005),"3810,  Sullivan Street , Madison, Madison County, Alabama, 35758, United States",1.0,0,0,0
25959,1600,,,Seventh,Avenue,South,Jefferson County,1600 Seventh Avenue South,,Birmingham,Alabama,35233,AL,"1600 SEVENTH AVENUE SOUTH, BIRMINGHAM, AL 35233",33.5040481500001,-86.8051591399999,POINT (-86.8051591399999 33.5040481500001),"1600,  Seventh Avenue South, Birmingham, Jefferson County, Alabama, 35233, United States",1.0,0,0,0
34874,24,,,Robertson Airport,Drive,,Barbour County,24 Robertson Airport Dr,,Clayton,Alabama,36016,AL,"24 ROBERTSON AIRPORT DR, CLAYTON, AL 36016",31.885150269655583,-85.48486591169224,POINT (-85.48486591169224 31.88515026965558),"24,  Robertson Airport Drive , Clayton, Barbour County, Alabama, 36016, United States",8.0,1,0,0
25973,1736,East,,Main,Street,,Houston County,1736 East Main Street,,Dothan,Alabama,36301,AL,"1736 EAST MAIN STREET, DOTHAN, AL 36301",31.2179119100001,-85.3658126299999,POINT (-85.36581262999989 31.2179119100001),"1736,East  Main Street , Dothan, Houston County, Alabama, 36301, United States",1.0,0,0,0
34851,1900,,,Beech,Avenue,Southeast,Cullman County,1900 Beech Ave Se,,Cullman,Alabama,35055,AL,"1900 BEECH AVE SE, CULLMAN, AL 35055",34.15049880258273,-86.82971695192414,POINT (-86.82971695192414 34.15049880258273),"1900,  Beech Avenue Southeast, Cullman, Cullman County, Alabama, 35055, United States",4.0,1,0,0
19758,104,,,Hardaway,Avenue,,Bullock County,104 Hardaway Avenue,,Union Springs,Alabama,36089,AL,"104 Hardaway Avenue, Union Springs, Alabama 36089",32.144541,-85.716277,POINT (-85.71627700000001 32.144541),"104,  Hardaway Avenue , Union Springs, Bullock County, Alabama, 36089, United States",2.0,0,0,0
26145,2710,South,,Rife Medical,Lane,,Benton County,2710 South Rife Medical Lane,,Rogers,Arkansas,72758,AR,"2710 SOUTH RIFE MEDICAL LANE, ROGERS, AR 72758",36.30899285,-94.18297802,POINT (-94.18297801999999 36.30899285),"2710,South  Rife Medical Lane , Rogers, Benton County, Arkansas, 72758, United States",1.0,0,0,0
20138,271,West,,Cherry,Street,,Clay County,271 West Cherry Street,,Piggott,Arkansas,72454,AR,"271 West Cherry Street, Piggott, Arkansas 72454",36.383835,-90.191755,POINT (-90.191755 36.383835),"271,West  Cherry Street , Piggott, Clay County, Arkansas, 72454, United States",7.0,1,0,0
30725,1703,,,River Pines,Boulevard,,Jefferson County,1703 River Pines Blvd,,Pine Bluff,Arkansas,71601,AR,"1703 River Pines Blvd, Pine Bluff, AR 71601",34.21470699977005,-91.96645399961356,POINT (-91.96645399961356 34.21470699977005),"1703,  River Pines Boulevard , Pine Bluff, Jefferson County, Arkansas, 71601, United States",1.0,0,0,0
37300,1001,North,,Tyler,Street,,Pulaski County,1001 N Tyler St,,Little Rock,Arkansas,72205,AR,"1001 N TYLER ST, LITTLE ROCK, AR 72205",34.75981469986564,-92.332959816423,POINT (-92.332959816423 34.75981469986564),"1001,North  Tyler Street , Little Rock, Pulaski County, Arkansas, 72205, United States",1.0,0,0,0
37264,300,East,,Nettleton,Avenue,,Craighead County,300 E Nettleton Ave,,Jonesboro,Arkansas,72401,AR,"300 E NETTLETON AVE, JONESBORO, AR 72401",35.82894647669329,-90.70316510475908,POINT (-90.70316510475908 35.82894647669329),"300,East  Nettleton Avenue , Jonesboro, Craighead County, Arkansas, 72401, United States",1.0,0,0,0
26176,1636,,,Higdon Ferry,Road,,Garland County,1636 Higdon Ferry Road,,Hot Springs,Arkansas,71913,AR,"1636 HIGDON FERRY ROAD, HOT SPRINGS, AR 71913",34.4642512300001,-93.0749322299999,POINT (-93.0749322299999 34.4642512300001),"1636,  Higdon Ferry Road , Hot Springs, Garland County, Arkansas, 71913, United States",1.0,0,0,0
