location_id,AddressNumber,StreetNamePreDirectional,StreetNamePreType,StreetName,StreetNamePostType,StreetNamePostDirectional,county,address_1,address_2,city,state,zip,state_abbr,location_source_value,latitude,longitude,geometry,Nominatim_address,Primary RUCA Code 2010,rural,tribal,rural_tribal
2867,49,,,Coachman,Pike,,New London County,49 Coachman Pike,,Mashantucket,Connecticut,6338,CT,"49 COACHMAN PIKE, MASHANTUCKET, CT 06338",41.45562500024994,-71.97392400023561,POINT (-71.97392400023561 41.45562500024994),"49,  Coachman Pike , Mashantucket, New London County, Connecticut, 6338, United States",1.0,0,1,0
3362,2823,,,Matthewson,Street,,Thurston County,2823 Matthewson St,,Walthill,Nebraska,68067,NE,"2823 MATTHEWSON ST, WALTHILL, NE 68067",42.15153699974041,-96.49811099970545,POINT (-96.49811099970545 42.15153699974041),"2823,  Matthewson Street , Walthill, Thurston County, Nebraska, 68067, United States",10.0,1,1,1
3439,307,,,Pine,Street,,Roberts County,307 Pine St,,Summit,South Dakota,57266,SD,"307 PINE ST, SUMMIT, SD 57266",45.30486600012101,-97.03873599961456,POINT (-97.03873599961456 45.30486600012101),"307,  Pine Street , Summit, Roberts County, South Dakota, 57266, United States",10.0,1,1,1
3545,9385,,Bia Route,12,,,Dunn County,9385 Bia Route 12,,Mandaree,North Dakota,58757,ND,"9385 BIA ROUTE 12, MANDAREE, ND 58757",47.7319719998037,-102.63770199971472,POINT (-102.6377019997147 47.7319719998037),"9385, Bia Route 12  , Mandaree, Dunn County, North Dakota, 58757, United States",10.0,1,1,1
3675,9884,,,25th,Street,Northwest,McKenzie County,9884 25Th St Nw,,Newtown,North Dakota,58763,ND,"9884 25TH ST NW, NEWTOWN, ND 58763",47.98460899981979,-102.58234099998248,POINT (-102.5823409999825 47.98460899981979),"9884,  25th Street Northwest, Newtown, McKenzie County, North Dakota, 58763, United States",10.0,1,1,1
3681,121,,,C,Avenue,North,Benson County,121 C Ave N,,Minnewaukan,North Dakota,58351,ND,"121 C AVE N, MINNEWAUKAN, ND 58351",48.073010999843326,-99.24900299999928,POINT (-99.24900299999928 48.07301099984333),"121,  C Avenue North, Minnewaukan, Benson County, North Dakota, 58351, United States",10.0,1,1,1
3729,3451,,,82nd,Avenue,Northeast,Benson County,3451 82Nd Ave Ne,,Sheyenne,North Dakota,58374,ND,"3451 82ND AVE NE, SHEYENNE, ND 58374",47.91174000023433,-98.82409800031832,POINT (-98.82409800031832 47.91174000023433),"3451,  82nd Avenue Northeast, Sheyenne, Benson County, North Dakota, 58374, United States",10.0,1,1,1
3769,427,,,Main,Street,,Benson County,427 Main St,,Warwick,North Dakota,58381,ND,"427 MAIN ST, WARWICK, ND 58381",47.85649299992881,-98.70953600035656,POINT (-98.70953600035656 47.85649299992881),"427,  Main Street , Warwick, Benson County, North Dakota, 58381, United States",10.0,1,1,1
3772,8925,,,62nd,Avenue,Southwest,Corson County,8925 62Nd Ave Sw,,Morristown,South Dakota,57645,SD,"8925 62ND AVE SW, MORRISTOWN, SD 57645",45.8771889997692,-101.7211420004467,POINT (-101.7211420004467 45.8771889997692),"8925,  62nd Avenue Southwest, Morristown, Corson County, South Dakota, 57645, United States",10.0,1,1,1
3918,321,,,7th,Avenue,East,Roberts County,321 7Th Ave E,,Sisseton,South Dakota,57262,SD,"321 7TH AVE E, SISSETON, SD 57262",45.66311600018914,-97.04181899970338,POINT (-97.04181899970338 45.66311600018914),"321,  7th Avenue East, Sisseton, Roberts County, South Dakota, 57262, United States",10.0,1,1,1
