location_id,AddressNumber,StreetNamePreDirectional,StreetNamePreType,StreetName,StreetNamePostType,StreetNamePostDirectional,county,address_1,address_2,city,state,zip,state_abbr,location_source_value,latitude,longitude,geometry,Nominatim_address
16507,200,West,,Congress,Street,,Poinsett County,200 West Congress Street,,Lafayette,Louisiana,70501,LA,"200 West Congress Street, Lafayette, Louisiana 70501",35.530798,-90.418989,POINT (-90.418989 35.530798),"200,West  Congress Street , Lafayette, Poinsett County, Louisiana, 70501, United States"
16651,615,,,Main,Avenue,,New York County,615 Main Avenue,,Passaic,New Jersey,07055,NJ,"615 Main Avenue, Passaic, New Jersey 07055",40.72047,-74.000928,POINT (-74.000928 40.72047),"615,  Main Avenue , Passaic, New York County, New Jersey, 7055, United States"
16653,850,,,Main,Street,,Suffolk County,850 Main Street,,Bridgeport,Connecticut,06604,CT,"850 Main Street, Bridgeport, Connecticut 06604",40.854908,-73.195385,POINT (-73.195385 40.854908),"850,  Main Street , Bridgeport, Suffolk County, Connecticut, 6604, United States"
17507,3921,,,Elm,Street,,Dallas County,3921 Elm Street,,Choudrant,Louisiana,71227,LA,"3921 Elm Street, Choudrant, Louisiana 71227",32.862959,-96.808549,POINT (-96.808549 32.862959),"3921,  Elm Street , Choudrant, Dallas County, Louisiana, 71227, United States"
37806,4600,,,Silver Hill,Road,,Prince George's County,4600 Silver Hill Rd,Rm 1K250,Washington,District of Columbia,20233,DC,"4600 Silver Hill Rd Rm 1K250, Washington, DC 20233",38.84470000020461,-76.92859999964583,POINT (-76.92859999964583 38.84470000020461),"4600,  Silver Hill Road , Washington, Prince George's County, District of Columbia, 20233, United States"
38379,2226,,,Us Army,Drive,,San Diego County,2226 Us Army Drive,,Barrigada,Guam,96913,GU,"2226 US ARMY DRIVE, BARRIGADA, GU 96913",32.6092236728617,-117.08291790791723,POINT (-117.0829179079172 32.6092236728617),"2226,  Us Army Drive , Barrigada, San Diego County, Guam, 96913, United States"
38380,nan,,,Nan,,,Solano County,177C Chalan Pasaheru,,Tamuning,Guam,96913,GU,"177C CHALAN PASAHERU, TAMUNING, GU 96913",38.27161109621581,-122.05298600342664,POINT (-122.0529860034266 38.27161109621581),"nan,    , Tamuning, Solano County, Guam, 96913, United States"
38381,136,,,Kayen Chando,,,San Francisco County,136 Kayen Chando,,Dededo,Guam,96929,GU,"136 KAYEN CHANDO, DEDEDO, GU 96929",37.77199946819008,-122.43017240179036,POINT (-122.4301724017904 37.77199946819008),"136,  Kayen Chando  , Dededo, San Francisco County, Guam, 96929, United States"
38382,136D,,,Harmon Loop,Road,,Yuba County,136D Harmon Loop Road,,Dededo,Guam,96929,GU,"136D HARMON LOOP ROAD, DEDEDO, GU 96929",39.02011101038613,-121.55031990514276,POINT (-121.5503199051428 39.02011101038613),"136D,  Harmon Loop Road , Dededo, Yuba County, Guam, 96929, United States"
38383,646,South,,Marine Corps,Drive,,San Joaquin County,646 South Marine Corps Drive,,Tamuning,Guam,96913,GU,"646 SOUTH MARINE CORPS DRIVE, TAMUNING, GU 96913",38.11759922827624,-121.30340124692646,POINT (-121.3034012469265 38.11759922827624),"646,South  Marine Corps Drive , Tamuning, San Joaquin County, Guam, 96913, United States"
38384,353,,,Chalan,,,Placer County,353 Chalan,,"San Antonio, Tamuning",Guam,96913,GU,"353 CHALAN SAN ANTONIO, TAMUNING, GU 96913",38.74623852470526,-121.25416361871832,POINT (-121.2541636187183 38.74623852470526),"353,  Chalan  , San Antonio, Tamuning, Placer County, Guam, 96913, United States"
38385,255,,,Farenholt,Avenue,,San Joaquin County,255 Farenholt Avenue,,Tamuning,Guam,96913,GU,"255 FARENHOLT AVENUE, TAMUNING, GU 96913",37.99174662154668,-121.3152539763146,POINT (-121.3152539763146 37.99174662154668),"255,  Farenholt Avenue , Tamuning, San Joaquin County, Guam, 96913, United States"
38386,302,South,Route,4,,,Placer County,302 South Route 4,,Hagatna,Guam,96910,GU,"302 SOUTH ROUTE 4, HAGATNA, GU 96910",38.7911323942114,-121.29031612239328,POINT (-121.2903161223933 38.7911323942114),"302,South Route 4  , Hagatna, Placer County, Guam, 96910, United States"
38387,106A,,Route,2,,,Contra Costa County,106A Route 2,,Agat,Guam,96928,GU,"106A ROUTE 2, AGAT, GU 96928",37.92397847230616,-121.72190530194872,POINT (-121.7219053019487 37.92397847230616),"106A, Route 2  , Agat, Contra Costa County, Guam, 96928, United States"
38388,388,,,Ypao,Road,,San Joaquin County,388 Ypao Road,,Tamuning,Guam,96913,GU,"388 YPAO ROAD, TAMUNING, GU 96913",37.74007171408658,-121.44939361254175,POINT (-121.4493936125418 37.74007171408658),"388,  Ypao Road , Tamuning, San Joaquin County, Guam, 96913, United States"
38389,404,North,,Marine Corps,Drive,,Alameda County,404 North Marine Corps Drive,,Tamuning,Guam,96913,GU,"404 NORTH MARINE CORPS DRIVE, TAMUNING, GU 96913",37.83471304696138,-122.25068455058286,POINT (-122.2506845505829 37.83471304696138),"404,North  Marine Corps Drive , Tamuning, Alameda County, Guam, 96913, United States"
38390,612,North,,Marine Corps,Drive,,San Joaquin County,612 North Marine Corps Drive,,Dededo,Guam,96929,GU,"612 NORTH MARINE CORPS DRIVE, DEDEDO, GU 96929",37.96234259501939,-121.33750640832224,POINT (-121.3375064083222 37.96234259501939),"612,North  Marine Corps Drive , Dededo, San Joaquin County, Guam, 96929, United States"
38362,5600,,,Debarr,Road,,San Joaquin County,5600 Debarr Road,,Anchorage,Alaska,99504,AK,"5600 DEBARR ROAD, ANCHORAGE, AK 99504",38.11299177603096,-121.30323819102428,POINT (-121.3032381910243 38.11299177603096),"5600,  Debarr Road , Anchorage, San Joaquin County, Alaska, 99504, United States"
38294,90,,,Sterling,Highway,,Mendocino County,90 Sterling Highway,,Homer,Alaska,99603,AK,"90 STERLING HIGHWAY, HOMER, AK 99603",39.14451940539714,-123.2109481534636,POINT (-123.2109481534636 39.14451940539714),"90,  Sterling Highway , Homer, Mendocino County, Alaska, 99603, United States"
38297,7731,East,,Northern Lights,Boulevard,,Contra Costa County,7731 East Northern Lights Boulevard,,Anchorage,Alaska,99504,AK,"7731 EAST NORTHERN LIGHTS BOULEVARD, ANCHORAGE, AK 99504",37.89884185467251,-122.32003589368534,POINT (-122.3200358936853 37.89884185467251),"7731,East  Northern Lights Boulevard , Anchorage, Contra Costa County, Alaska, 99504, United States"
38360,1501,East,,Parks,Highway,,Yolo County,1501 East Parks Highway,,Wasilla,Alaska,99654,AK,"1501 EAST PARKS HIGHWAY, WASILLA, AK 99654",38.56052828656745,-121.7631563224778,POINT (-121.7631563224778 38.56052828656745),"1501,East  Parks Highway , Wasilla, Yolo County, Alaska, 99654, United States"
38315,300,,,Front,Street,,San Diego County,300 Front Street,,Ketchikan,Alaska,99901,AK,"300 FRONT STREET, KETCHIKAN, AK 99901",32.6297296364391,-116.96557135425525,POINT (-116.9655713542552 32.6297296364391),"300,  Front Street , Ketchikan, San Diego County, Alaska, 99901, United States"
38334,6525,,,Glacier,Highway,,San Mateo County,6525 Glacier Highway,,Juneau,Alaska,99801,AK,"6525 GLACIER HIGHWAY, JUNEAU, AK 99801",37.68951477497994,-122.46648477863646,POINT (-122.4664847786365 37.68951477497994),"6525,  Glacier Highway , Juneau, San Mateo County, Alaska, 99801, United States"
38331,751,East,,36th,Avenue,,San Francisco County,751 East 36Th Avenue,,Anchorage,Alaska,99503,AK,"751 EAST 36TH AVENUE, ANCHORAGE, AK 99503",37.79637945092483,-122.4214991389761,POINT (-122.4214991389761 37.79637945092483),"751,East  36th Avenue , Anchorage, San Francisco County, Alaska, 99503, United States"
38392,330,,,Church,Street,,San Joaquin County,330 Church Street,,Wrangell,Alaska,99929,AK,"330 CHURCH STREET, WRANGELL, AK 99929",37.76096994220174,-121.43312349320242,POINT (-121.4331234932024 37.76096994220174),"330,  Church Street , Wrangell, San Joaquin County, Alaska, 99929, United States"
38338,10576,,,Kenai,Spur Highway,,Alameda County,10576 Kenai Spur Highway,,Kenai,Alaska,99611,AK,"10576 KENAI SPUR HIGHWAY, KENAI, AK 99611",37.82669013073181,-122.25314266639032,POINT (-122.2531426663903 37.82669013073181),"10576,  Kenai Spur Highway , Kenai, Alameda County, Alaska, 99611, United States"
38375,930,,,Old Steese,Highway,,Sonoma County,930 Old Steese Highway,,Fairbanks,Alaska,99701,AK,"930 OLD STEESE HIGHWAY, FAIRBANKS, AK 99701",38.40444882123585,-122.82710999722062,POINT (-122.8271099972206 38.40444882123585),"930,  Old Steese Highway , Fairbanks, Sonoma County, Alaska, 99701, United States"
38343,10096,,,Kenai,Spur Highway,,Napa County,10096 Kenai Spur Highway,,Kenai,Alaska,99611,AK,"10096 KENAI SPUR HIGHWAY, KENAI, AK 99611",38.57796091403467,-122.57902102642852,POINT (-122.5790210264285 38.57796091403467),"10096,  Kenai Spur Highway , Kenai, Napa County, Alaska, 99611, United States"
38377,2630,,,Central,Avenue,,San Diego County,2630 Central Avenue,,Eielson Air Force Base,Alaska,99702,AK,"2630 CENTRAL AVENUE, EIELSON AIR FORCE BASE, AK 99702",32.67699607087476,-117.03919441560414,POINT (-117.0391944156041 32.67699607087476),"2630,  Central Avenue , Eielson Air Force Base, San Diego County, Alaska, 99702, United States"
38356,9109,,,Mendenhall Mall,Road,,San Diego County,9109 Mendenhall Mall Road,,Juneau,Alaska,99801,AK,"9109 MENDENHALL MALL ROAD, JUNEAU, AK 99801",32.62127192062028,-117.07293916392476,POINT (-117.0729391639248 32.62127192062028),"9109,  Mendenhall Mall Road , Juneau, San Diego County, Alaska, 99801, United States"
